"id","SalePrice"
1461,133405.192560117
1462,170859.187201277
1463,177071.227625717
1464,192630.194503275
1465,189522.144748507
1466,170058.392792306
1467,176802.571182704
1468,159490.817028375
1469,185861.562615316
1470,115329.95827173
1471,191338.0407672
1472,105139.238338012
1473,102562.517763659
1474,149612.551793923
1475,120117.293315364
1476,418410.16705769
1477,249368.830180325
1478,303863.094603156
1479,292398.666009731
1480,460333.175517902
1481,316028.021586054
1482,204542.867365411
1483,198324.082393631
1484,162185.90594586
1485,159641.894409575
1486,195915.47982332
1487,340863.18899896
1488,254888.890627398
1489,196428.891653252
1490,207646.951482839
1491,195973.815810625
1492,99409.0269340006
1493,183226.65755333
1494,281806.626057529
1495,280851.247289527
1496,200132.526764468
1497,211871.996598558
1498,152991.292743733
1499,150639.764559827
1500,145679.526997589
1501,165533.059371115
1502,146627.771319117
1503,267759.358258032
1504,231714.822818192
1505,216606.962082027
1506,178484.761399435
1507,232363.672735543
1508,178165.39863063
1509,158136.152469229
1510,143167.695718636
1511,139929.071836389
1512,168473.937510783
1513,149024.156691101
1514,169837.917376324
1515,196796.582633816
1516,157878.039301347
1517,165169.911062588
1518,142251.875464757
1519,212083.227078074
1520,124344.211552484
1521,132469.309271213
1522,153268.186167955
1523,116049.60857351
1524,122351.128702332
1525,131810.920005512
1526,118145.419053507
1527,107446.381627344
1528,147454.705312561
1529,133493.480520474
1530,190165.330108082
1531,97021.633703767
1532,90484.5140820888
1533,146953.337863678
1534,122290.565967798
1535,163038.601629594
1536,119726.709070729
1537,62723.4294588933
1538,178243.676642214
1539,193147.060830014
1540,106009.097567493
1541,140779.481327459
1542,135962.802246725
1543,189547.113718682
1544,79533.0475806725
1545,115832.065578371
1546,118223.722023987
1547,126282.995596604
1548,140815.681123965
1549,120181.715944388
1550,121090.266027973
1551,110083.586985977
1552,128092.691629238
1553,149140.536776968
1554,120944.297035103
1555,157220.209595153
1556,78496.3764668383
1557,101332.546347925
1558,97319.8980826225
