"id","SalePrice"
1461,117124.214078384
1462,155402.514309642
1463,163531.083022421
1464,189580.837310789
1465,200035.838141402
1466,172925.251587157
1467,177603.812052661
1468,166476.845290046
1469,198418.390331055
1470,114727.504296975
1471,199609.946086479
1472,106942.005471277
1473,97776.5654291387
1474,152885.869933406
1475,129096.726999397
1476,350295.543802523
1477,248063.41578195
1478,300259.529635156
1479,281140.648846196
1480,459572.180512256
1481,327110.003917583
1482,219668.39269814
1483,178573.019487507
1484,167608.44589517
1485,199514.579633934
1486,203602.985247691
1487,316132.516171154
1488,247942.660212906
1489,187137.379964035
1490,198916.345698358
1491,200893.502422303
1492,98628.1659198937
1493,191720.263829228
1494,301479.935974998
1495,295538.24657885
1496,210049.047433574
1497,182336.49052273
1498,165103.094747098
1499,169686.231464437
1500,154107.932772967
1501,163683.362423792
1502,155425.745190649
1503,265674.257165511
1504,245660.684643515
1505,216448.729033612
1506,193237.409249699
1507,231138.075548059
1508,202270.51037456
1509,158427.927245109
1510,141166.431224393
1511,139621.782088047
1512,167260.831202013
1513,154779.889821197
1514,156111.752737231
1515,183961.768838817
1516,160437.795043565
1517,171824.924614219
1518,142312.824478808
1519,209430.491851723
1520,123312.407882882
1521,120408.734455538
1522,173468.112658664
1523,104162.287792293
1524,117702.556764171
1525,116954.110401351
1526,118515.969177074
1527,107719.890956244
1528,147553.802277371
1529,136792.345351333
1530,183222.97434931
1531,98158.8015455702
1532,98789.5341552019
1533,142328.002329131
1534,123861.55797602
1535,142105.47401229
1536,107372.871921887
1537,67823.8812665463
1538,181765.370345923
1539,216337.349189881
1540,93081.4230731312
1541,149004.033992542
1542,125615.267883437
1543,185566.9377414
1544,85981.2667832379
1545,116601.894624284
1546,135045.218423494
1547,118113.003279683
1548,129341.214462225
1549,114409.91138222
1550,123739.445610938
1551,119355.667842953
1552,119225.864345167
1553,146758.296061809
1554,126193.547939009
1555,152060.511122651
1556,91720.624763041
1557,102661.880924757
1558,107468.112396125
1559,62926.1780590946
1560,138730.037903549
1561,125337.117724768
1562,132006.47718557
1563,120710.166146214
1564,147522.797649726
1565,141714.727898208
1566,234287.244269283
